cost
-137.0
-138.0
-136.0
-139.0
-137.0
-139.0
-136.0
-137.0
-137.0
-136.0
-137.0
-137.0
-135.0
-135.0
-135.0
-137.0
-136.0
-137.0
-137.0
-136.0
-138.0
-135.0
-135.0
-135.0
-136.0
-135.0
-138.0
-135.0
-137.0
-136.0
-137.0
-136.0
-137.0
-137.0
-138.0
-137.0
-137.0
-136.0
-140.0
-136.0
-137.0
-137.0
-135.0
-138.0
-138.0
-137.0
-136.0
-137.0
-137.0
-136.0
