cost
-67.0
-68.0
-68.0
-69.0
-69.0
-68.0
-68.0
-66.0
-69.0
-68.0
-68.0
-68.0
-69.0
-68.0
-66.0
-68.0
-65.0
-69.0
-68.0
-68.0
-68.0
-67.0
-68.0
-68.0
-67.0
-69.0
-68.0
-68.0
-69.0
-68.0
-68.0
-69.0
-68.0
-69.0
-66.0
-66.0
-69.0
-70.0
-66.0
-69.0
-69.0
-68.0
-67.0
-67.0
-69.0
-68.0
-68.0
-68.0
-68.0
-66.0
