cost
-381.0
-362.0
-371.0
-382.0
-370.0
-387.0
-376.0
-400.0
-372.0
-375.0
-369.0
-364.0
-368.0
-382.0
-381.0
-379.0
-377.0
-384.0
-373.0
-382.0
-379.0
-377.0
-379.0
-369.0
-373.0
-388.0
-379.0
-359.0
-377.0
-375.0
-376.0
-377.0
-378.0
-379.0
-362.0
-396.0
-359.0
-374.0
-369.0
-383.0
-379.0
-368.0
-370.0
-381.0
-388.0
-376.0
-381.0
-370.0
-363.0
-385.0
