cost
-1417.0
-1424.0
-1428.0
-1452.0
-1429.0
-1442.0
-1411.0
-1458.0
-1435.0
-1426.0
-1432.0
-1439.0
-1414.0
-1446.0
-1441.0
-1427.0
-1414.0
-1426.0
-1436.0
-1453.0
-1414.0
-1454.0
-1429.0
-1442.0
-1402.0
-1416.0
-1414.0
-1403.0
-1445.0
-1439.0
-1470.0
-1432.0
-1424.0
-1436.0
-1433.0
-1459.0
-1421.0
-1431.0
-1419.0
-1437.0
-1437.0
-1440.0
-1418.0
-1421.0
-1425.0
-1427.0
-1455.0
-1417.0
-1395.0
-1440.0
