cost
-720.0
-724.0
-748.0
-734.0
-714.0
-730.0
-726.0
-748.0
-726.0
-712.0
-732.0
-764.0
-732.0
-734.0
-726.0
-742.0
-800.0
-730.0
-714.0
-706.0
-736.0
-700.0
-726.0
-752.0
-706.0
-734.0
-720.0
-744.0
-730.0
-726.0
-734.0
-700.0
-728.0
-710.0
-740.0
-748.0
-718.0
-730.0
-704.0
-722.0
-730.0
-746.0
-736.0
-746.0
-730.0
-724.0
-760.0
-724.0
-718.0
-714.0
